address,balance,timestamp,Vote,Round,Project Name,Proposal State,Proposal Standing,Grant Category,Earmarks,OCEAN Granted,datetime
0x2102fbdb989Ad103DFd0D110E639A8abe0e148fF,0.5267964261569978,1608042348.0,Yes,1,Operation Plankton,Not Granted,Not Granted,Outreach,General,0.0,2020-12-15 14:25:48
0x3DA6cb84752975352711ACAb5613B4E23e04fbfc,24510.21392,1608039344.0,Yes,1,Operation Plankton,Not Granted,Not Granted,Outreach,General,0.0,2020-12-15 13:35:44
0x4D4290CBA904aBb4dFbc1568766bCD88e67Be391,5078.0,1608203959.0,Yes,1,Resilient ML,Not Granted,Not Granted,Build & Integrate,General,0.0,2020-12-17 11:19:19
0xB40156F51103EbaA842590cE51DD2cD0a9E83cDa,12861.269001146664,1608132378.0,Yes,1,Resilient ML,Not Granted,Not Granted,Build & Integrate,General,0.0,2020-12-16 15:26:18
0x15b5359fd05A37ba6546AaCabe92D9354aD18D07,2230.0,1608048260.0,Yes,1,Wisdom Of the Web,Not Granted,Not Granted,Build & Integrate,General,0.0,2020-12-15 16:04:20
0x655eFe6Eb2021b8CEfE22794d90293aeC37bb325,6435.0,1608048301.0,Yes,1,Wisdom Of the Web,Not Granted,Not Granted,Build & Integrate,General,0.0,2020-12-15 16:05:01
0xF40b005FFE2Db0197b8c301e1C966C2cb3B59A08,5000.0,1608048328.0,Yes,1,Wisdom Of the Web,Not Granted,Not Granted,Build & Integrate,General,0.0,2020-12-15 16:05:28
0xb1234459671Bc3C844b7887574748be5bFf8b55F,2491.4624879024286,1608050331.0,Yes,1,Wisdom Of the Web,Not Granted,Not Granted,Build & Integrate,General,0.0,2020-12-15 16:38:51
0xCe7BE31f48205C48A91A84E777a66252Bba87F0b,6238.163055456334,1608048210.0,Yes,1,Wisdom Of the Web,Not Granted,Not Granted,Build & Integrate,General,0.0,2020-12-15 16:03:30
0x9e95B6c35a43A61B06F19d21FBe008f17B1f5e44,300.0118093941776,1608035489.0,Yes,1,Wisdom Of the Web,Not Granted,Not Granted,Build & Integrate,General,0.0,2020-12-15 12:31:29
0x798FfE6427072A92eaEbb575eb2ed843e60B3762,1853.217767666136,1612282922.0,Yes,2,Buidl Ocean,Not Granted,Not Granted,Outreach,General,0.0,2021-02-02 16:22:02
0xc42193d87DD67c3639ED1cEF53c409c37775F7C4,14885.664131870386,1612280112.0,Yes,2,Buidl Ocean,Not Granted,Not Granted,Outreach,General,0.0,2021-02-02 15:35:12
0x27B3035ab7F71d711dE25f114768F5F64B61857B,44349.8,1612346875.0,Yes,2,Clean Docs,Funded,Completed,Core Software,General,10000.0,2021-02-03 10:07:55
0xa5a8c36e3f9C922BCfa56Cd05B5a4Ac6F8313827,68272.81537847506,1612467313.0,Yes,2,Clean Docs,Funded,Completed,Core Software,General,10000.0,2021-02-04 19:35:13
0x1d4df77B21a54A30735E18512613CfB87D83A8Ce,200.0,1612343248.0,Yes,2,Clean Docs,Funded,Completed,Core Software,General,10000.0,2021-02-03 09:07:28
0x1491e29aDc7a1aa6F8a7e6da5aC0D77BcD7D859E,26000.0,1612345039.0,Yes,2,Clean Docs,Funded,Completed,Core Software,General,10000.0,2021-02-03 09:37:19
